id_ventas,movies_show_id,custumer_id_client,payment_methods_id_payment,total,fecha
1,357,148,1,15,1/1/2023
2,7082,265,3,40,1/1/2023
3,2512,187,2,5,1/1/2023
4,1493,9,1,40,1/1/2023
5,2590,56,1,45,1/1/2023
6,7977,121,1,5,1/1/2023
7,327,181,1,15,1/10/2023
8,1606,69,2,40,1/10/2023
9,1774,118,3,5,1/11/2023
10,8747,157,2,15,1/11/2023
11,6497,190,2,5,1/11/2023
12,2165,7,2,40,1/11/2023
13,8086,70,3,10,1/11/2023
14,3589,66,3,45,1/12/2023
15,1946,210,3,10,1/12/2023
16,1022,99,3,45,1/12/2023
17,911,56,2,15,1/12/2023
18,2269,249,1,30,1/12/2023
19,3179,12,1,30,1/13/2023
20,5185,211,1,25,1/13/2023
21,2059,121,1,35,1/13/2023
22,2437,42,2,10,1/13/2023
23,7827,96,1,15,1/14/2023
24,3126,146,1,45,1/14/2023
25,4921,86,3,30,1/14/2023
26,4898,99,3,5,1/14/2023
27,407,251,3,45,1/14/2023
28,6937,141,3,5,1/14/2023
29,3327,274,1,50,1/15/2023
30,8282,97,3,30,1/16/2023
31,5667,7,3,30,1/16/2023
32,8351,61,2,35,1/16/2023
33,1701,161,3,30,1/16/2023
34,4131,299,1,20,1/16/2023
35,5077,194,1,35,1/16/2023
36,2225,205,1,10,1/17/2023
37,7927,67,1,25,1/17/2023
38,4076,106,3,50,1/17/2023
39,7746,136,2,50,1/17/2023
40,6403,90,2,20,1/17/2023
41,964,66,1,45,1/17/2023
42,2021,27,1,45,1/17/2023
43,6771,252,2,5,1/17/2023
44,8286,44,1,15,1/17/2023
45,3815,189,2,30,1/18/2023
46,2217,100,2,10,1/18/2023
47,2673,227,2,40,1/18/2023
48,1224,290,3,45,1/18/2023
49,5453,268,3,50,1/18/2023
50,3307,238,1,30,1/19/2023
51,5415,140,1,10,1/19/2023
52,8212,195,3,45,1/19/2023
53,7040,14,3,25,1/19/2023
54,4179,148,1,50,1/19/2023
55,931,146,3,25,1/19/2023
56,797,188,2,10,1/19/2023
57,238,229,1,40,1/2/2023
58,6489,165,1,5,1/2/2023
59,1549,224,3,35,1/2/2023
60,3763,126,1,40,1/20/2023
61,3706,139,1,35,1/20/2023
62,1775,125,1,35,1/20/2023
63,1701,226,1,15,1/20/2023
64,4305,108,2,35,1/20/2023
65,1160,46,1,5,1/20/2023
66,3051,34,2,15,1/20/2023
67,2972,3,1,30,1/21/2023
68,3877,172,3,30,1/21/2023
69,757,91,2,15,1/21/2023
70,280,181,1,25,1/22/2023
71,8198,260,1,50,1/22/2023
72,8707,181,2,15,1/22/2023
73,617,51,3,40,1/22/2023
74,5757,194,2,35,1/23/2023
75,5291,39,3,25,1/23/2023
76,1016,216,3,35,1/23/2023
77,2153,236,1,30,1/25/2023
78,6475,130,1,35,1/25/2023
79,4577,180,1,5,1/25/2023
80,8764,130,1,25,1/25/2023
81,4722,29,3,10,1/25/2023
82,1181,149,3,25,1/25/2023
83,4505,116,3,35,1/25/2023
84,5264,20,3,45,1/25/2023
85,2763,223,3,15,1/25/2023
86,5186,3,2,45,1/25/2023
87,8606,175,1,45,1/26/2023
88,2271,132,2,40,1/26/2023
89,4006,149,2,20,1/26/2023
90,7120,249,1,30,1/26/2023
91,5056,77,1,40,1/26/2023
92,5880,106,1,15,1/26/2023
93,4311,241,3,50,1/27/2023
94,3686,222,3,20,1/27/2023
95,6139,219,3,45,1/27/2023
96,1043,251,2,20,1/27/2023
97,7383,161,3,45,1/28/2023
98,3930,262,1,10,1/28/2023
99,8838,289,2,20,1/28/2023
100,5644,18,2,40,1/29/2023
101,5734,183,2,45,1/29/2023
102,8520,226,3,15,1/29/2023
103,2677,72,3,15,1/29/2023
104,7753,209,2,45,1/29/2023
105,3451,29,1,5,1/29/2023
106,3621,188,2,45,1/3/2023
107,6169,136,1,20,1/3/2023
108,75,289,3,5,1/3/2023
109,2293,183,1,35,1/3/2023
110,2932,280,1,15,1/3/2023
111,2410,38,2,20,1/3/2023
112,7526,273,2,45,1/3/2023
113,153,148,1,45,1/30/2023
114,8716,65,2,20,1/30/2023
115,1121,202,3,40,1/30/2023
116,3664,19,2,45,1/30/2023
117,2132,35,1,35,1/4/2023
118,2926,51,3,10,1/4/2023
119,4571,207,1,40,1/4/2023
120,8077,198,1,45,1/5/2023
121,4726,50,2,25,1/5/2023
122,4141,268,1,35,1/5/2023
123,4829,253,2,20,1/5/2023
124,5562,249,3,30,1/5/2023
125,6709,273,2,10,1/5/2023
126,3269,177,1,35,1/5/2023
127,8406,296,2,20,1/5/2023
128,6593,241,3,35,1/6/2023
129,4211,229,2,35,1/6/2023
130,4560,243,3,30,1/6/2023
131,8755,18,1,30,1/6/2023
132,6181,231,2,20,1/7/2023
133,4725,134,2,25,1/7/2023
134,8485,150,1,10,1/8/2023
135,7017,107,3,20,1/8/2023
136,1115,88,3,45,1/8/2023
137,2531,182,1,15,1/8/2023
138,3021,293,3,5,1/8/2023
139,4446,173,2,45,1/8/2023
140,3927,220,3,50,1/8/2023
141,1051,96,1,25,1/9/2023
142,4928,96,1,35,1/9/2023
143,6605,145,3,30,1/9/2023
144,870,66,3,40,1/9/2023
145,5913,232,2,30,1/9/2023
146,6173,208,1,10,1/9/2023
147,7711,60,2,10,1/9/2023
148,194,73,3,40,1/9/2023
149,6875,159,2,10,1/9/2023
150,1622,218,3,40,1/9/2023
