id_ventas,movies_show_id,custumer_id_client,payment_methods_id_payment,total,fecha
1,252,178,2,35,2/1/2023
2,3170,216,1,40,2/1/2023
3,3838,238,2,35,2/1/2023
4,3135,228,3,20,2/1/2023
5,4083,90,1,35,2/1/2023
6,3578,254,2,25,2/1/2023
7,3523,8,3,40,2/1/2023
8,16,262,1,20,2/1/2023
9,92,184,2,40,2/1/2023
10,1779,228,1,30,2/1/2023
11,144,138,1,25,2/1/2023
12,2355,61,2,30,2/1/2023
13,44,119,3,20,2/10/2023
14,4355,38,1,25,2/10/2023
15,3763,25,2,40,2/10/2023
16,234,91,3,20,2/10/2023
17,4117,92,3,40,2/10/2023
18,2922,105,2,40,2/10/2023
19,1569,82,2,30,2/10/2023
20,4492,299,3,35,2/10/2023
21,4792,91,3,30,2/10/2023
22,3167,16,1,35,2/10/2023
23,4984,177,2,35,2/10/2023
24,1424,146,1,20,2/11/2023
25,826,51,1,30,2/11/2023
26,2004,129,3,20,2/11/2023
27,3543,244,1,20,2/11/2023
28,752,214,2,35,2/11/2023
29,4916,79,3,30,2/11/2023
30,4116,216,1,40,2/11/2023
31,2949,245,1,25,2/12/2023
32,4876,186,1,35,2/12/2023
33,2434,271,2,40,2/12/2023
34,2183,256,3,35,2/12/2023
35,3251,12,2,40,2/12/2023
36,4717,81,1,40,2/12/2023
37,3140,25,3,20,2/12/2023
38,2010,172,1,20,2/12/2023
39,1679,205,3,30,2/12/2023
40,1541,150,2,35,2/12/2023
41,258,252,2,20,2/13/2023
42,2202,274,3,25,2/13/2023
43,4804,172,2,35,2/13/2023
44,539,148,1,30,2/13/2023
45,3778,104,3,30,2/13/2023
46,181,51,3,35,2/13/2023
47,373,233,3,20,2/13/2023
48,4240,265,3,40,2/13/2023
49,4535,21,2,25,2/13/2023
50,80,58,3,40,2/13/2023
51,1850,265,1,25,2/14/2023
52,2049,219,1,40,2/14/2023
53,2338,232,1,20,2/14/2023
54,2694,57,2,35,2/14/2023
55,12,109,3,25,2/14/2023
56,2831,173,2,20,2/14/2023
57,1239,167,3,25,2/14/2023
58,1926,115,1,20,2/14/2023
59,3988,246,2,40,2/14/2023
60,3793,279,2,25,2/15/2023
61,3863,185,2,35,2/15/2023
62,2700,221,3,20,2/15/2023
63,4232,149,1,35,2/15/2023
64,1095,75,3,40,2/15/2023
65,3412,103,2,35,2/15/2023
66,2459,265,2,40,2/15/2023
67,1804,59,3,35,2/15/2023
68,61,276,3,30,2/16/2023
69,3025,21,2,35,2/16/2023
70,959,213,1,30,2/16/2023
71,3641,244,1,35,2/16/2023
72,4717,71,3,25,2/16/2023
73,359,174,3,25,2/16/2023
74,4909,60,1,30,2/16/2023
75,2540,88,2,35,2/16/2023
76,1282,284,1,25,2/16/2023
77,2797,193,1,20,2/16/2023
78,4455,38,1,25,2/16/2023
79,3533,174,1,35,2/16/2023
80,1590,300,1,35,2/17/2023
81,1457,213,3,35,2/17/2023
82,1868,237,1,35,2/17/2023
83,3808,288,3,35,2/17/2023
84,4547,173,1,35,2/17/2023
85,307,29,1,30,2/17/2023
86,4340,148,1,35,2/17/2023
87,3871,296,2,20,2/17/2023
88,154,122,2,40,2/18/2023
89,860,156,3,35,2/18/2023
90,4791,89,3,35,2/18/2023
91,1657,43,1,20,2/18/2023
92,271,17,3,25,2/18/2023
93,677,31,3,25,2/18/2023
94,2502,286,1,40,2/18/2023
95,2957,76,1,40,2/18/2023
96,3294,297,1,30,2/19/2023
97,667,59,2,20,2/19/2023
98,833,21,1,25,2/19/2023
99,4448,288,1,35,2/19/2023
100,1619,300,2,40,2/19/2023
101,647,16,3,30,2/2/2023
102,2092,277,2,30,2/2/2023
103,2230,196,2,40,2/2/2023
104,1453,187,2,25,2/2/2023
105,1994,88,2,30,2/2/2023
106,2007,55,1,40,2/2/2023
107,3517,117,2,40,2/2/2023
108,4315,73,2,30,2/2/2023
109,1326,148,1,25,2/2/2023
110,2275,225,3,35,2/2/2023
111,2222,8,2,25,2/2/2023
112,3535,43,3,25,2/2/2023
113,262,38,3,35,2/20/2023
114,3690,290,2,35,2/20/2023
115,1352,72,3,25,2/20/2023
116,1490,132,3,35,2/20/2023
117,3085,5,2,35,2/20/2023
118,3719,268,3,35,2/20/2023
119,3353,153,2,30,2/20/2023
120,101,135,2,30,2/20/2023
121,4833,49,2,35,2/20/2023
122,3067,255,3,25,2/21/2023
123,1354,100,3,20,2/21/2023
124,2059,195,2,20,2/21/2023
125,73,13,1,20,2/21/2023
126,3673,37,2,35,2/21/2023
127,2658,51,1,35,2/21/2023
128,3011,67,3,40,2/21/2023
129,3964,60,1,20,2/21/2023
130,3848,263,3,35,2/21/2023
131,4405,300,3,35,2/21/2023
132,1576,234,3,20,2/21/2023
133,88,287,2,25,2/21/2023
134,4505,187,3,20,2/21/2023
135,2845,106,2,25,2/21/2023
136,2449,169,3,20,2/21/2023
137,3409,275,1,35,2/21/2023
138,3386,245,1,25,2/22/2023
139,3077,34,2,30,2/22/2023
140,3443,3,3,25,2/22/2023
141,2506,221,3,40,2/22/2023
142,2613,192,2,20,2/22/2023
143,2976,297,1,20,2/22/2023
144,3906,216,2,35,2/22/2023
145,1448,98,1,25,2/22/2023
146,2695,300,1,35,2/22/2023
147,4596,206,1,25,2/22/2023
148,3974,2,1,35,2/22/2023
149,2793,16,3,30,2/22/2023
150,2731,190,3,30,2/22/2023
151,2178,49,2,30,2/23/2023
152,3469,256,1,35,2/23/2023
153,2811,150,3,40,2/23/2023
154,332,64,1,40,2/23/2023
155,377,105,1,40,2/23/2023
156,480,246,3,35,2/23/2023
157,2308,142,3,25,2/23/2023
158,275,151,2,30,2/23/2023
159,547,227,2,25,2/24/2023
160,4899,49,2,35,2/24/2023
161,4118,234,1,25,2/24/2023
162,3607,20,2,20,2/24/2023
163,513,102,2,20,2/24/2023
164,962,74,1,40,2/24/2023
165,2766,252,3,25,2/24/2023
166,190,52,1,25,2/24/2023
167,4044,277,3,40,2/24/2023
168,1130,68,1,30,2/25/2023
169,3682,239,2,35,2/25/2023
170,4547,222,1,30,2/25/2023
171,4240,217,3,30,2/25/2023
172,4393,243,1,25,2/25/2023
173,4713,108,3,20,2/25/2023
174,2336,250,1,20,2/25/2023
175,1212,189,2,25,2/25/2023
176,4048,206,1,40,2/25/2023
177,2537,222,2,40,2/26/2023
178,1669,8,1,30,2/26/2023
179,1184,151,3,25,2/26/2023
180,2649,114,3,35,2/26/2023
181,3032,137,2,40,2/26/2023
182,3012,132,1,25,2/26/2023
183,2008,81,3,20,2/27/2023
184,3936,214,3,20,2/27/2023
185,4744,297,2,40,2/27/2023
186,4265,181,2,30,2/27/2023
187,2211,46,1,25,2/27/2023
188,2200,86,3,20,2/27/2023
189,1107,287,2,35,2/27/2023
190,778,233,3,35,2/3/2023
191,2969,18,2,35,2/3/2023
192,2948,34,2,25,2/3/2023
193,617,177,1,40,2/3/2023
194,2164,90,2,20,2/3/2023
195,3213,242,2,35,2/3/2023
196,1533,180,1,35,2/3/2023
197,3007,89,3,40,2/3/2023
198,3904,189,3,40,2/3/2023
199,2029,247,1,30,2/3/2023
200,2524,33,1,30,2/3/2023
201,4644,194,1,25,2/3/2023
202,1845,275,1,25,2/3/2023
203,4826,185,2,25,2/4/2023
204,3994,105,1,40,2/4/2023
205,1106,12,3,25,2/4/2023
206,1745,219,3,20,2/4/2023
207,3992,267,3,40,2/4/2023
208,1495,234,1,35,2/4/2023
209,4810,287,2,30,2/4/2023
210,1370,158,2,20,2/5/2023
211,2689,59,3,30,2/5/2023
212,266,260,2,40,2/5/2023
213,3001,57,3,35,2/5/2023
214,4116,266,2,25,2/5/2023
215,2185,183,1,35,2/5/2023
216,3511,57,2,30,2/5/2023
217,1434,55,2,30,2/5/2023
218,3608,51,2,25,2/5/2023
219,3688,206,1,20,2/6/2023
220,2004,238,3,25,2/6/2023
221,1077,62,1,30,2/6/2023
222,4791,90,3,30,2/6/2023
223,2215,116,1,25,2/6/2023
224,1559,183,2,20,2/6/2023
225,4494,148,2,40,2/6/2023
226,4144,87,2,40,2/6/2023
227,3966,173,1,40,2/7/2023
228,2305,119,2,25,2/7/2023
229,4835,18,3,25,2/7/2023
230,862,130,1,35,2/7/2023
231,4840,220,2,20,2/7/2023
232,3016,74,1,20,2/7/2023
233,1298,108,1,20,2/7/2023
234,4061,224,2,25,2/7/2023
235,535,11,2,40,2/7/2023
236,1381,215,3,20,2/7/2023
237,431,241,3,35,2/7/2023
238,466,288,1,35,2/8/2023
239,3040,24,1,40,2/8/2023
240,3724,237,2,30,2/8/2023
241,4455,92,3,40,2/8/2023
242,2948,149,3,35,2/8/2023
243,2303,27,3,35,2/8/2023
244,4775,151,1,20,2/9/2023
245,1486,241,2,25,2/9/2023
246,1103,130,1,25,2/9/2023
247,109,27,1,30,2/9/2023
248,859,240,3,30,2/9/2023
249,3183,88,2,40,2/9/2023
250,2383,288,2,25,2/9/2023
251,112,181,1,40,2/9/2023
252,3427,226,3,40,2/9/2023
253,3958,194,2,20,2/9/2023
